CustomerID,Name,DOB,Gender,JoinDate,IncomeBracket,CustomerSegment,RiskScore
239,Kimaya Anand,20-02-93,Male,16-01-25,Middle,Digital,0.74
240,Darshit Cherian,30-10-69,Male,02-02-25,Low,Retail,0.42
241,Anaya Guha,13-09-04,Male,11-11-24,Middle,Priority,0.56
242,Divyansh Bir,30-01-89,Male,06-07-24,High,Digital,0.35
243,Faiyaz Sachdeva,08-12-01,Female,15-06-24,Upper Middle,Digital,0.91
244,Aaryahi Ramesh,25-03-60,Female,15-05-24,Low,Retail,0.77
245,Jhanvi Vora,14-11-98,Male,04-10-24,Upper Middle,Priority,0.84
246,Sara Bansal,22-07-56,Female,15-02-25,High,Priority,0.19
247,Divit Sharma,20-04-96,Male,29-01-25,High,Digital,0.61
248,Himmat Ganesh,25-10-79,Female,28-01-25,High,Corporate,0.77
249,Adira Khare,04-04-83,Female,28-07-24,Low,Digital,0.15
250,Priyansh Date,24-03-75,Female,18-01-25,High,Corporate,0.16
251,Krish Banerjee,15-01-65,Female,11-02-25,Low,Retail,0.64
252,Parinaaz Lal,16-11-85,Male,20-04-24,High,Retail,0.98
253,Veer Kalita,20-07-94,Female,15-08-24,Low,Retail,0.44
254,Aradhya Kapur,13-01-06,Female,27-07-24,Low,Retail,0.66
255,Mehul Wagle,17-12-80,Male,16-01-25,Middle,Corporate,0.78
256,Kanav Balan,20-10-58,Male,23-08-24,High,Retail,0.5
257,Baiju Balakrishnan,11-06-77,Female,10-02-25,Middle,Digital,0.66
258,Abram Seshadri,17-09-05,Male,17-04-24,Low,Retail,0.12
259,Jayesh Gokhale,11-06-66,Male,02-08-24,Low,Digital,0.77
260,Manjari Johal,12-05-91,Male,09-05-24,High,Retail,0.85
261,Divyansh Keer,21-01-68,Male,27-03-25,Upper Middle,Corporate,0.77
262,Madhup Dara,12-02-06,Male,09-10-24,Middle,Priority,0.92
263,Siya Wagle,22-01-61,Female,23-04-24,Middle,Corporate,0.09
264,Vivaan Kumer,05-03-63,Male,16-12-24,High,Corporate,0.67
265,Kashvi Agrawal,29-02-68,Male,12-01-25,Low,Retail,0.92
266,Reyansh Dhar,19-12-63,Female,23-02-25,Middle,Retail,0.89
267,Badal Handa,28-02-07,Male,07-01-25,Upper Middle,Digital,0.81
268,Anahi Das,12-01-67,Male,02-01-25,Middle,Digital,0.6
269,Prisha Chadha,02-08-99,Male,21-11-24,High,Retail,0.77
270,Tushar Bali,07-10-70,Male,15-04-24,Upper Middle,Priority,0.73
271,Jivika Chakrabarti,10-05-87,Male,10-02-25,Middle,Corporate,0.21
272,Dhruv Korpal,06-11-74,Male,24-03-25,Middle,Retail,0.6
273,Elakshi Sridhar,26-03-58,Male,23-02-25,Low,Digital,0.82
274,Navya Kunda,18-09-02,Female,27-07-24,Low,Retail,0.83
275,Vedika Korpal,09-04-59,Female,06-10-24,Upper Middle,Priority,0.61
276,Prerak Dutt,18-07-06,Male,11-11-24,High,Retail,0.71
277,Urvi Balasubramanian,13-05-67,Female,04-08-24,High,Corporate,0.12
278,Jiya Comar,27-02-00,Female,06-07-24,Low,Corporate,0.81
279,Nishith Goda,25-12-00,Female,09-07-24,Upper Middle,Digital,0.01
280,Seher Suri,05-01-90,Female,15-05-24,Low,Corporate,0.88
281,Prerak Kothari,19-10-62,Female,26-09-24,Upper Middle,Priority,0.16
282,Lavanya Srinivasan,01-06-62,Male,03-12-24,Upper Middle,Retail,0.81
283,Pranay Bal,02-03-02,Female,30-11-24,High,Digital,0.11
284,Riaan Shah,11-11-77,Female,10-11-24,High,Retail,0.57
285,Lagan Goyal,11-03-07,Female,23-01-25,Upper Middle,Retail,0.21
286,Ishaan Bhatti,18-01-99,Male,31-07-24,Low,Corporate,0.03
287,Advika Dube,06-03-01,Male,29-06-24,Middle,Digital,0.77
288,Jayan Dhar,28-08-63,Male,20-08-24,Middle,Digital,0.67
289,Nirvaan Sunder,28-08-64,Male,02-12-24,Upper Middle,Priority,0.7
290,Khushi Bal,30-07-63,Female,19-04-24,Upper Middle,Priority,0.99
291,Zara Agate,01-02-82,Male,23-10-24,Middle,Digital,0.73
292,Azad Upadhyay,29-08-58,Female,22-10-24,High,Digital,0.04
293,Oorja Amble,23-03-97,Male,09-04-24,Middle,Retail,0.86
294,Neelofar Boase,03-01-62,Female,31-10-24,High,Digital,0.1
295,Dhanuk Loyal,07-08-55,Male,02-06-24,High,Priority,0.38
296,Gokul Sibal,16-02-79,Male,14-02-25,High,Priority,0.01
297,Ivana Lata,15-12-89,Male,18-05-24,Middle,Digital,0.94
298,Miraya Rajan,07-05-85,Male,24-05-24,High,Retail,0.17
299,Piya Karan,21-04-66,Male,01-10-24,Low,Digital,0.42
300,Jiya Warrior,26-06-65,Male,01-09-24,Low,Corporate,0.53
301,Yuvaan Mannan,28-10-74,Male,19-04-24,High,Digital,0.16
302,Mamooty Khalsa,10-03-76,Female,28-08-24,Low,Corporate,0.85
303,Rohan Bhakta,14-07-98,Male,14-05-24,High,Priority,0.15
304,Aarna Goswami,01-08-60,Female,24-12-24,Middle,Priority,0.15
305,Rasha Agarwal,04-11-96,Male,03-07-24,Middle,Retail,0.68
306,Nakul Lala,25-12-79,Female,08-06-24,Middle,Retail,0.18
307,Nakul Kuruvilla,25-07-74,Female,06-12-24,High,Retail,0.47
308,Mamooty Saxena,01-04-97,Female,26-03-25,High,Digital,0.09
309,Priyansh Vaidya,06-07-69,Female,07-07-24,Low,Corporate,0.69
310,Tanya Korpal,21-10-60,Female,02-03-25,High,Digital,0.09
311,Azad Srinivas,23-12-83,Female,20-07-24,Upper Middle,Digital,0.13
312,Priyansh Bajwa,18-09-84,Male,25-10-24,Low,Priority,0.9
313,Advika Kashyap,19-03-96,Female,24-09-24,Middle,Corporate,0.46
314,Ayesha Bhatia,13-06-86,Male,31-01-25,High,Priority,0.44
315,Zoya Varghese,02-03-01,Male,11-01-25,Upper Middle,Digital,0.67
316,Nitara Bumb,19-07-66,Female,20-05-24,Low,Corporate,0.2
317,Dhanush Ranganathan,25-09-73,Female,10-07-24,Low,Digital,0.47
318,Ivan Tailor,16-10-92,Female,01-06-24,Upper Middle,Corporate,0.19
319,Vedika Dasgupta,01-10-68,Female,07-04-24,Low,Corporate,0.72
320,Misha Doctor,11-12-81,Female,22-02-25,High,Digital,0.9
321,Rania Ganguly,16-03-83,Female,07-02-25,Low,Priority,0.13
322,Pari Vyas,26-08-87,Female,21-06-24,Middle,Retail,0.48
323,Ayesha Varghese,28-03-74,Female,22-04-24,High,Priority,0.13
324,Fateh Deo,01-11-58,Male,25-01-25,Middle,Priority,0.3
325,Tiya Vyas,16-07-61,Male,06-01-25,High,Retail,0.98
326,Nakul Biswas,17-01-60,Male,14-09-24,Upper Middle,Retail,0.19
327,Vidur Ram,09-01-76,Female,23-11-24,Low,Retail,0.95
328,Mohanlal Apte,09-01-58,Female,05-10-24,Low,Digital,0.86
329,Parinaaz Devan,04-07-63,Male,13-07-24,Low,Priority,0.34
330,Ahana  Swaminathan,12-12-76,Male,19-11-24,Middle,Corporate,0.77
331,Akarsh Sawhney,09-06-92,Male,11-12-24,Middle,Digital,0.27
332,Emir Sandhu,14-03-82,Female,20-01-25,Low,Digital,0.33
333,Hansh Lall,28-09-78,Female,01-11-24,Low,Priority,0.01
334,Ivan Sarma,24-08-78,Male,03-01-25,Low,Priority,0
335,Kavya Baria,04-06-71,Male,23-06-24,Middle,Priority,0.91
336,Adira Khosla,14-01-82,Male,22-07-24,High,Priority,0.75
337,Vihaan Manda,13-12-03,Female,12-02-25,Middle,Retail,0.84
338,Ojas Bahri,29-10-89,Male,08-06-24,Middle,Retail,0.5
339,Ivan Bhandari,01-04-81,Female,01-08-24,Low,Corporate,0.12
340,Ishaan Lall,20-01-65,Female,11-03-25,Middle,Retail,0.92
341,Madhav Loke,03-04-76,Male,03-07-24,Upper Middle,Corporate,0.77
342,Prerak Salvi,24-08-56,Female,17-06-24,Middle,Retail,0.32
343,Shlok Dube,16-06-75,Female,07-01-25,High,Retail,0.64
344,Indrajit Sidhu,18-07-98,Male,08-09-24,Upper Middle,Priority,0.49
345,Ela Majumdar,03-05-97,Male,12-11-24,Upper Middle,Priority,0.53
346,Yuvraj  Sundaram,22-08-69,Female,13-05-24,Upper Middle,Retail,0.43
347,Pranay Gill,11-11-97,Female,01-06-24,Low,Retail,0.29
348,Rati Agate,22-10-07,Female,19-10-24,High,Retail,0.38
349,Seher Konda,09-03-73,Female,18-10-24,Upper Middle,Digital,0.21
350,Akarsh Sankar,01-11-85,Female,25-10-24,Middle,Corporate,0.67
351,Mehul Garg,24-12-97,Male,16-12-24,Middle,Corporate,0.96
352,Azad Ramachandran,04-10-62,Male,02-03-25,Upper Middle,Retail,0.74
353,Zaina Rajagopalan,04-12-97,Female,18-11-24,Low,Priority,0.41
354,Yuvaan Sodhi,18-02-77,Female,19-11-24,High,Retail,0.69
355,Indrans Thakkar,19-06-88,Male,10-01-25,High,Digital,0.23
356,Keya Ratti,17-08-87,Female,28-12-24,High,Digital,0.48
357,Aaryahi Agate,05-01-56,Female,12-01-25,Low,Priority,0.78
358,Saanvi Deshpande,16-12-03,Male,20-04-24,Middle,Digital,0.61
359,Tejas Som,09-11-54,Male,16-03-25,Middle,Priority,0.89
360,Anya Mandal,27-04-85,Female,13-09-24,Middle,Retail,0.67
361,Farhan Chad,10-04-83,Female,10-12-24,Low,Retail,0.47
362,Hiran Chakrabarti,31-10-91,Male,16-09-24,High,Corporate,0.1
363,Riaan Bora,29-07-65,Female,12-04-24,Upper Middle,Corporate,0.38
